,plot,id,species,height_cm,date
152,2401,NA,SAAP,28.4,3/9/2023
153,2401,5,ARCA,34.6,3/9/2023
154,2401,16,ERFA,14.8,3/9/2023
155,2401,37,ENCA,41.7,3/9/2023
156,2401,NA,SAAP,20.7,3/9/2023
157,2401,NA,SAME,43.4,3/9/2023
158,2401,NA,ARCA,39.2,3/9/2023
159,2401,61,SAAP,13.3,3/9/2023
160,2401,54,SAAP,20.1,3/9/2023
161,2401,60,SALE,38.6,3/9/2023
162,2401,50,ERFA,27.2,3/9/2023
163,2401,NA,SALE,42.8,3/9/2023
164,2462,NA,SALE,17.2,3/9/2023
165,2462,NA,ARCA,27.4,3/9/2023
166,2462,NA,SAAP,13,3/9/2023
167,2462,NA,ARCA,47,3/9/2023
168,2462,NA,SAAP,38.7,3/9/2023
169,12,NA,RHOV,4.4,3/9/2023
170,12,NA,ADFA,36.7,3/9/2023
171,12,NA,HEAR,12.2,3/9/2023
172,12,35,CEOL,40.3,3/9/2023
173,12,NA,CECU,36.5,3/9/2023
174,12,34,RHOV,12.8,3/9/2023
175,12,NA,RHIL,15.9,3/9/2023
176,12,27,RHOV,13.7,3/9/2023
177,12,NA,RHIL,21.6,3/9/2023
178,12,NA,CEOL,17.6,3/9/2023
179,12,14,RHOV,11.6,3/9/2023
180,12,1,RHOV,14.4,3/9/2023
181,14,65,SALE,42.4,3/9/2023
182,14,NA,ENCA,65.7,3/9/2023
183,14,NA,ARCA,42,3/9/2023
184,14,NA,SAME,59.7,3/9/2023
185,14,67,ARCA,70.1,3/9/2023
186,14,NA,ADFA,63.3,3/9/2023
187,14,50,ENCA,66,3/9/2023
188,14,NA,ARCA,48.8,3/9/2023
189,14,70,ENCA,77.2,3/9/2023
190,14,72,ARCA,52,3/9/2023
191,14,55,SAAP,29.4,3/9/2023
192,14,NA,ERFA,40.7,3/9/2023
193,14,51,ENCA,77.4,3/9/2023
194,14,44,SALE,52.5,3/9/2023
195,14,71,SALE,36.8,3/9/2023
196,14,33,SAAP,30.3,3/9/2023
197,14,45,ENCA,88.9,3/9/2023
198,14,47,ARCA,58.1,3/9/2023
199,14,NA,MALA,30.4,3/9/2023
200,14,27,SALE,55.2,3/9/2023
201,14,31,SAME,66.7,3/9/2023
202,14,42,ENCA,84.7,3/9/2023
203,14,NA,SALE,49,3/9/2023
204,14,29,ARCA,60,3/9/2023
205,14,30,ENCA,101.4,3/9/2023
206,14,35,ENCA,102.8,3/9/2023
207,14,NA,SALE,73.8,3/9/2023
208,14,23,ENCA,84.3,3/9/2023
209,14,NA,SAAP,34.8,3/9/2023
210,14,15,ERFA,29.5,3/9/2023
211,14,14,SAAP,60.7,3/9/2023
212,14,12,ARCA,40.6,3/9/2023
213,14,2,ARCA,68.9,3/9/2023
214,14,4,SAAP,33.9,3/9/2023
215,14,5,ARCA,44.3,3/9/2023
216,14,6,SALE,57,3/9/2023
217,14,7,RHOV,21.6,3/9/2023
218,14,9,ARCA,67.2,3/9/2023
219,14,4,ENCA,48.5,3/9/2023
220,2460,68,ARCA,36.2,3/9/2023
221,2460,70,SALE,69.7,3/9/2023
222,2460,72,SAAP,36,3/9/2023
223,2460,73,ENCA,85.3,3/9/2023
224,2460,74,SAAP,38.4,3/9/2023
225,2460,75,ARCA,46.5,3/9/2023
226,2460,76,ENCA,62.3,3/9/2023
227,2460,66,SAAP,39.1,3/9/2023
228,2460,NA,SAAP,49.8,3/9/2023
229,2460,NA,SALE,50.2,3/9/2023
230,2460,61,RHOV,20.4,3/9/2023
231,2460,NA,SAME,67.5,3/9/2023
232,2460,NA,SAAP,50.7,3/9/2023
233,2460,58,SALE,56.1,3/9/2023
234,2460,57,ENCA,77.8,3/9/2023
235,2460,56,ARCA,41.6,3/9/2023
236,2460,44,SALE,66.8,3/9/2023
237,2460,41,ENCA,78.5,3/9/2023
238,2460,47,SALE,89.6,3/9/2023
239,2460,59,RHOV,25.9,3/9/2023
240,2460,NA,ARCA,32.1,3/9/2023
241,2460,NA,SAME,102.4,3/9/2023
242,2460,NA,ARCA,44.1,3/9/2023
243,2460,49,ENCA,80.2,3/9/2023
244,2460,NA,ARCA,40.3,3/9/2023
245,2460,41,SALE,60.2,3/9/2023
