"","plot","par","date"
"53",15,0.967611336032389,2022-04-05
"54",2458,0.968731905037638,2022-05-06
"55",2459,0.971528181289948,2022-05-06
"56",2459,0.91566265060241,2022-08-05
"57",15,0.959793222286042,2022-04-05
"58",2462,0.978910369068541,2022-05-06
"59",2458,0.954857142857143,2022-06-09
"60",12,0.969239698200813,2022-04-05
"61",15,0.9760374050263,2022-05-06
"62",2405,0.965876229034124,2022-06-09
"63",14,0.95754446356856,2022-04-05
"64",2462,0.980035231943629,2022-05-06
"65",2405,0.980035231943629,2022-05-06
"66",2462,0.968659315147998,2022-06-09
"67",2402,0.977166276346604,2022-06-09
"68",13,0.947189097103918,2022-06-09
"69",11,0.946651532349603,2022-08-05
"70",2459,0.969749854566608,2022-05-06
"71",12,0.974853801169591,2022-07-15
"72",2402,0.968041836141778,2022-04-05
"73",2461,0.968041836141778,2022-04-05
"74",11,0.970862470862471,2022-04-05
"75",15,0.957471264367816,2022-04-05
"76",2403,0.984042553191489,2022-04-05
"77",2403,0.997005988023952,2022-06-09
"78",2401,0.975953079178886,2022-08-05
"79",2461,0.970811441914769,2022-04-05
"80",15,0.948659440958357,2022-07-15
"81",13,0.973607038123167,2022-04-05
"82",2461,0.970760233918129,2022-05-06
"83",2460,0.973607038123167,2022-06-09
"84",13,0.948571428571429,2022-06-09
"85",13,0.970192869666861,2022-07-15
"86",2405,0.956195965417867,2022-06-09
"87",2404,0.963393375944218,2022-04-05
"88",2401,0.963953488372093,2022-05-06
"89",2462,0.954519286125504,2022-05-06
"90",2403,0.97874852420307,2022-07-15
"91",2405,0.967892586106246,2022-07-15
"92",15,0.963372093023256,2022-05-06
"93",2402,0.974132863021752,2022-06-09
"94",2462,0.965034965034965,2022-07-15
"95",2459,0.971244131455399,2022-08-05
"96",2402,0.969519343493552,2022-05-06
"97",2462,0.997587454764777,2022-08-05
"98",2402,0.969483568075117,2022-05-06
"99",2401,0.96551724137931,2022-08-05
"100",2460,0.979833926453143,2022-07-15
"101",2462,0.980403800475059,2022-08-05
"102",2401,0.964932787843366,2022-07-15
"103",2458,0.973451327433628,2022-05-06
"104",12,0.969447708578143,2022-05-06
"105",2462,0.94552752293578,2022-05-06
"106",2462,0.942285714285714,2022-06-09
"107",2458,0.957582800697269,2022-04-05
"108",2402,0.978622327790974,2022-05-06
"109",2402,0.998787878787879,2022-07-15
"110",2403,0.957558139534884,2022-04-05
"111",2403,0.962032710280374,2022-05-06
"112",2404,0.960887332165791,2022-04-05
"113",2404,0.961448598130841,2022-04-05
"114",2405,0.934128336172629,2022-06-09
"115",2405,0.945914844649022,2022-04-05
"116",2459,0.934090909090909,2022-06-09
"117",2405,0.940435280641466,2022-04-05
"118",2458,0.950231481481482,2022-05-06
"119",2401,0.950231481481482,2022-06-09
"120",2459,0.943103448275862,2022-05-06
"121",2458,0.962441314553991,2022-04-05
"122",13,0.935539075869937,2022-06-09
"123",11,0.943037974683544,2022-07-15
"124",2459,0.928004535147392,2022-06-09
"125",2402,0.99816961561928,2022-07-15
"126",2403,0.944540727902946,2022-05-06
"127",2458,0.948345908299478,2022-04-05
"128",2404,0.940161104718067,2022-05-06
"129",2461,0.951105937136205,2022-06-09
"130",2405,0.937428243398393,2022-06-09
"131",2402,0.963990554899646,2022-06-09
"132",2459,0.953828170660432,2022-04-05
"133",2402,0.998775260257195,2022-07-15
"134",15,0.94712376525276,2022-06-09
"135",2461,0.956011730205279,2022-06-09
"136",2458,0.89119737561509,2022-08-05
"137",2404,0.942708333333333,2022-06-09
"138",2405,0.943768115942029,2022-04-05
"139",15,0.951490356516657,2022-06-09
