"","plot","soil_moisture","date"
"64",2461,15.9,2022-04-05
"65",15,5.7,2022-07-15
"66",13,16.8,2022-04-05
"67",2461,8.7,2022-05-06
"68",2460,24,2022-06-09
"69",13,20.1,2022-06-09
"70",13,6.1,2022-07-15
"71",2405,22.1,2022-06-09
"72",2404,15.8,2022-04-05
"73",2401,9.4,2022-05-06
"74",2462,9.6,2022-05-06
"75",2403,6.9,2022-07-15
"76",2405,6.2,2022-07-15
"77",15,7.8,2022-05-06
"78",2402,20.2,2022-06-09
"79",2462,7.7,2022-07-15
"80",2402,8.6,2022-05-06
"81",2402,7.7,2022-05-06
"82",2460,6.1,2022-07-15
"83",2401,6.6,2022-07-15
"84",2458,6.8,2022-05-06
"85",12,9.1,2022-05-06
"86",2462,8.5,2022-05-06
"87",2462,22.2,2022-06-09
"88",2458,17.4,2022-04-05
"89",2402,7.4,2022-05-06
"90",2402,5.7,2022-07-15
"91",2403,13.7,2022-04-05
"92",2403,9.3,2022-05-06
"93",2404,14,2022-04-05
"94",2404,15.4,2022-04-05
"95",2405,29.6,2022-06-09
"96",2405,15.5,2022-04-05
"97",2459,21.2,2022-06-09
"98",2405,15.1,2022-04-05
"99",2458,7.9,2022-05-06
"100",2401,21.4,2022-06-09
"101",2459,11.8,2022-05-06
"102",2458,18.9,2022-04-05
"103",13,18.8,2022-06-09
"104",11,6.5,2022-07-15
"105",2459,20.4,2022-06-09
"106",2402,6.4,2022-07-15
"107",2403,8,2022-05-06
"108",2458,23.5,2022-04-05
"109",2404,8,2022-05-06
"110",2461,25.8,2022-06-09
"111",2405,22.8,2022-06-09
"112",2402,21.2,2022-06-09
"113",2459,15.7,2022-04-05
"114",2402,5.4,2022-07-15
"115",15,18.8,2022-06-09
"116",2461,24.7,2022-06-09
"117",2404,17.3,2022-06-09
"118",2405,18.5,2022-04-05
"119",15,18.6,2022-06-09
"120",11,7.6,2022-07-15
"121",2459,17.9,2022-04-05
"122",11,9.1,2022-05-06
"123",2401,20.6,2022-06-09
"124",2401,21.5,2022-06-09
"125",2402,22.6,2022-06-09
"126",2402,7.7,2022-07-15
"127",13,6.4,2022-07-15
"128",2459,7.2,2022-07-15
"129",12,23.5,2022-06-09
"130",2461,19.6,2022-04-05
"131",2458,19.5,2022-04-05
"132",12,23.1,2022-06-09
"133",2402,6.5,2022-07-15
"134",13,8.3,2022-05-06
"135",2404,21.5,2022-06-09
"136",14,18.5,2022-02-17
"137",2401,17.4,2022-04-05
"138",2401,22.1,2022-06-09
"139",13,9.8,2022-05-06
"140",11,22.7,2022-06-09
"141",2459,8.9,2022-05-06
"142",2405,6,2022-07-15
"143",15,20.5,2022-06-09
"144",2401,5.6,2022-07-15
"145",2459,15.6,2022-04-05
"146",13,21.7,2022-06-09
"147",2401,9.8,2022-05-06
"148",11,22.4,2022-06-09
"149",2460,8.9,2022-05-06
"150",15,17.9,2022-06-09
"151",2405,22.9,2022-06-09
"152",13,7.2,2022-07-15
"153",15,7.5,2022-05-06
"154",2404,21.3,2022-06-09
"155",11,7.2,2022-07-15
"156",12,22.1,2022-06-09
"157",15,20.7,2022-06-09
"158",2462,24.8,2022-06-09
"159",2401,6.1,2022-07-15
"160",2405,9.3,2022-05-06
"161",11,15.7,2022-04-05
"162",12,7.7,2022-05-06
"163",2458,10.1,2022-05-06
"164",11,19,2022-06-09
"165",2405,8.9,2022-05-06
"166",12,8.2,2022-05-06
"167",14,6.2,2022-07-15
"168",2461,6.4,2022-07-15
"169",14,18,2022-02-17
"170",2460,23.8,2022-06-09
"171",2403,6.2,2022-07-15
"172",2459,17.6,2022-04-05
"173",11,20.4,2022-06-09
"174",2462,24.1,2022-06-09
"175",2402,21.5,2022-06-09
"176",2459,15.1,2022-04-05
"177",2405,8.8,2022-05-06
"178",11,7.2,2022-07-15
"179",2461,14.3,2022-02-17
"180",2460,19.3,2022-02-17
"181",2460,9.8,2022-05-06
"182",2461,6.2,2022-07-15
"183",2458,6.7,2022-07-15
"184",2404,6.4,2022-07-15
"185",2459,11.2,2022-05-06
"186",13,8.5,2022-05-06
"187",2460,21.8,2022-06-09
"188",12,6.1,2022-07-15
"189",11,6.5,2022-07-15
"190",2460,19.8,2022-02-17
"191",11,9.6,2022-05-06
"192",13,9,2022-05-06
"193",2458,7,2022-07-15
"194",2401,7.9,2022-05-06
"195",12,9,2022-05-06
"196",2462,22.4,2022-06-09
"197",2462,6.7,2022-07-15
"198",2461,21.7,2022-06-09
"199",2458,5.7,2022-07-15
"200",11,8.8,2022-05-06
"201",11,18.2,2022-02-17
"202",15,6.2,2022-07-15
"203",12,7.1,2022-07-15
"204",2460,16.4,2022-02-17
"205",14,5.5,2022-07-15
"206",2403,23.7,2022-06-09
"207",14,22.6,2022-06-09
"208",15,8.4,2022-05-06
"209",15,7.2,2022-05-06
"210",14,19.2,2022-02-17
"211",2405,17.8,2022-04-05
"212",2462,12,2022-05-06
"213",2458,13.2,2022-02-17
"214",2461,5.3,2022-07-15
"215",2461,10.6,2022-05-06
"216",12,23.2,2022-06-09
"217",2459,12.4,2022-02-17
"218",2403,20,2022-06-09
"219",12,7.3,2022-02-17
"220",2403,16.6,2022-02-17
"221",2460,15.6,2022-02-17
"222",2403,23.2,2022-06-09
"223",12,10.9,2022-02-17
"224",2404,6.8,2022-02-17
"225",2405,10.1,2022-02-17
"226",2405,7,2022-07-15
"227",15,6.7,2022-07-15
"228",14,19.4,2022-06-09
"229",2460,6.5,2022-07-15
"230",2462,10.8,2022-02-17
"231",2405,6.4,2022-07-15
"232",13,6.9,2022-07-15
"233",2460,17.4,2022-02-17
"234",2402,7.4,2022-02-17
"235",15,5.6,2022-07-15
"236",2401,9.8,2022-02-17
"237",2458,6.8,2022-07-15
"238",2401,9.2,2022-05-06
"239",2461,5.4,2022-07-15
"240",2459,21.3,2022-06-09
"241",2458,24.1,2022-06-09
"242",2404,5.7,2022-07-15
"243",2458,20,2022-06-09
"244",2458,13.1,2022-02-17
"245",11,10,2022-05-06
"246",2402,9,2022-05-06
"247",15,6.1,2022-07-15
"248",2405,6.5,2022-07-15
"249",2404,7.2,2022-07-15
"250",2402,13.5,2022-04-05
"251",2459,17.2,2022-02-17
"252",2401,8.1,2022-05-06
"253",2403,12.4,2022-02-17
"254",2458,9.1,2022-05-06
"255",12,6.6,2022-07-15
"256",12,8.9,2022-02-17
"257",11,9.7,2022-02-17
"258",2401,15.1,2022-04-05
"259",2404,16.9,2022-02-17
"260",2401,7.3,2022-07-15
"261",2459,8.3,2022-07-15
"262",2401,11.3,2022-02-17
"263",2462,10.5,2022-02-17
"264",2462,14.8,2022-02-17
"265",12,21.1,2022-06-09
"266",2402,14.6,2022-04-05
"267",2403,6.1,2022-07-15
"268",14,16.5,2022-02-17
"269",14,17.7,2022-04-05
"270",2459,20.9,2022-06-09
"271",14,19.8,2022-04-05
"272",2405,10.5,2022-02-17
"273",2402,13.2,2022-02-17
"274",14,21.1,2022-04-05
"275",2461,18.1,2022-02-17
"276",2402,16.4,2022-04-05
"277",2404,9.9,2022-02-17
"278",2458,10.4,2022-02-17
"279",2460,6.8,2022-07-15
"280",2405,14,2022-02-17
"281",2458,23.7,2022-06-09
"282",12,11.2,2022-02-17
"283",13,12.1,2022-02-17
"284",2405,10.3,2022-02-17
"285",2403,16.7,2022-02-17
"286",14,18.3,2022-06-09
"287",2404,16,2022-04-05
"288",2461,9.5,2022-05-06
"289",14,8.3,2022-05-06
"290",2404,6.3,2022-07-15
"291",2402,15.8,2022-04-05
"292",2458,21.2,2022-06-09
"293",12,6.1,2022-07-15
"294",2462,8.6,2022-02-17
"295",2404,8.6,2022-05-06
"296",12,8.9,2022-05-06
"297",2460,5.2,2022-07-15
"298",2461,8.8,2022-02-17
"299",14,9.5,2022-05-06
"300",2462,7.3,2022-07-15
"301",2404,20.1,2022-06-09
"302",2403,10.2,2022-05-06
"303",2461,5.3,2022-07-15
"304",2459,9.1,2022-07-15
"305",15,13.1,2022-02-17
"306",11,9.8,2022-02-17
"307",2403,17.1,2022-04-05
"308",2404,10.5,2022-02-17
"309",2403,12.2,2022-02-17
"310",2403,6.4,2022-07-15
"311",13,8.2,2022-05-06
"312",13,8.4,2022-02-17
"313",13,12.1,2022-02-17
"314",14,17.2,2022-04-05
"315",2458,6.9,2022-07-15
"316",12,12.4,2022-02-17
"317",2405,8,2022-05-06
"318",2459,7.5,2022-07-15
"319",2402,9.2,2022-02-17
"320",15,8.4,2022-02-17
"321",2404,23.5,2022-06-09
"322",2460,9.3,2022-05-06
"323",2402,11.5,2022-02-17
"324",2403,22.2,2022-06-09
"325",2459,5.8,2022-07-15
"326",2459,12.5,2022-02-17
"327",2403,8.6,2022-05-06
"328",2403,8.7,2022-05-06
"329",2460,23.5,2022-06-09
"330",2404,9.7,2022-05-06
"331",15,5.1,2022-02-17
"332",2459,9.8,2022-02-17
"333",2404,18.4,2022-02-17
"334",13,8.1,2022-02-17
"335",2402,11.2,2022-02-17
"336",14,5.3,2022-07-15
"337",15,8.5,2022-02-17
"338",2459,18.9,2022-02-17
"339",2461,23.2,2022-06-09
"340",15,8.2,2022-02-17
"341",2461,13.2,2022-02-17
"342",14,21.6,2022-06-09
"343",11,12.8,2022-02-17
"344",14,7.1,2022-07-15
"345",2404,20.6,2022-04-05
"346",2458,21,2022-02-17
"347",14,5.8,2022-07-15
"348",11,13.5,2022-02-17
"349",2458,9.5,2022-02-17
"350",2460,6.1,2022-07-15
"351",13,16.9,2022-02-17
"352",2403,11.5,2022-02-17
"353",14,10.8,2022-05-06
"354",2460,13.8,2022-05-06
"355",11,20.9,2022-06-09
"356",2461,16.9,2022-04-05
"357",2460,20.8,2022-06-09
"358",2462,12.1,2022-02-17
"359",2405,9.8,2022-02-17
"360",2401,8.8,2022-02-17
"361",14,21.2,2022-06-09
"362",2403,6.1,2022-07-15
"363",2461,8.8,2022-02-17
"364",14,10,2022-05-06
"365",2460,8.2,2022-05-06
"366",2401,11.4,2022-02-17
"367",14,8.2,2022-05-06
"368",2401,10.1,2022-02-17
"369",11,8.4,2022-05-06
"370",15,3.8,2022-09-08
"371",15,4.7,2022-09-08
"372",15,5.5,2022-09-08
"373",15,3.1,2022-09-08
"374",15,4.7,2022-09-08
"375",14,3.7,2022-09-08
"376",14,5.1,2022-09-08
"377",14,5.2,2022-09-08
"378",14,5.2,2022-09-08
"379",14,4.9,2022-09-08
"380",13,5,2022-09-08
"381",13,3.4,2022-09-08
"382",13,5.3,2022-09-08
"383",13,5.3,2022-09-08
"384",13,4.8,2022-09-08
"385",12,5.5,2022-09-08
"386",12,5.4,2022-09-08
"387",12,5.6,2022-09-08
"388",12,5.8,2022-09-08
"389",12,5.4,2022-09-08
"390",11,5.4,2022-09-08
"391",11,5.6,2022-09-08
"392",11,4.8,2022-09-08
"393",11,5.3,2022-09-08
"394",11,5.2,2022-09-08
"395",2405,3.8,2022-09-08
"396",2405,4.8,2022-09-08
"397",2405,5.3,2022-09-08
"398",2405,5,2022-09-08
"399",2405,5,2022-09-08
"400",2459,5.3,2022-09-08
"401",2459,4.7,2022-09-08
"402",2459,5.2,2022-09-08
"403",2459,5,2022-09-08
"404",2459,4.7,2022-09-08
"405",2401,4.8,2022-09-08
"406",2401,5.3,2022-09-08
"407",2401,5.3,2022-09-08
"408",2401,5.3,2022-09-08
"409",2401,4.5,2022-09-08
"410",2462,5.5,2022-09-08
"411",2462,5.3,2022-09-08
"412",2462,6,2022-09-08
"413",2462,5,2022-09-08
"414",2462,5,2022-09-08
"415",2458,5.3,2022-09-08
"416",2458,5.4,2022-09-08
"417",2458,5.6,2022-09-08
"418",2458,5.7,2022-09-08
"419",2458,5.3,2022-09-08
"420",2461,5.6,2022-09-08
"421",2461,4.8,2022-09-08
"422",2461,5.9,2022-09-08
"423",2461,5.8,2022-09-08
"424",2461,5.3,2022-09-08
"425",2404,5.4,2022-09-08
"426",2404,5.4,2022-09-08
"427",2404,5.4,2022-09-08
"428",2404,4.9,2022-09-08
"429",2404,5.3,2022-09-08
"430",2402,5,2022-09-08
"431",2402,5.8,2022-09-08
"432",2402,4.4,2022-09-08
"433",2402,5.2,2022-09-08
"434",2402,4.9,2022-09-08
"435",2403,5.8,2022-09-08
"436",2403,5.5,2022-09-08
"437",2403,5.2,2022-09-08
"438",2403,5,2022-09-08
"439",2403,5.7,2022-09-08
"440",2460,5.5,2022-09-08
"441",2460,5.4,2022-09-08
"442",2460,4.8,2022-09-08
"443",2460,5.1,2022-09-08
"444",2460,5.4,2022-09-08
"445",2403,5,2022-10-19
"446",2403,5.3,2022-10-19
"447",2403,5.8,2022-10-19
"448",2403,4.1,2022-10-19
"449",2403,5.5,2022-10-19
"450",2460,5.6,2022-10-19
"451",2460,6,2022-10-19
"452",2460,5.8,2022-10-19
"453",2460,4.6,2022-10-19
"454",2460,3.1,2022-10-19
"455",2402,5.5,2022-10-19
"456",2402,5.3,2022-10-19
"457",2402,5.2,2022-10-19
"458",2402,5.4,2022-10-19
"459",2402,5.7,2022-10-19
"460",2404,5.1,2022-10-19
"461",2404,5.8,2022-10-19
"462",2404,5,2022-10-19
"463",2404,5.1,2022-10-19
"464",2404,5,2022-10-19
"465",2461,5.5,2022-10-19
"466",2461,5.7,2022-10-19
"467",2461,5.8,2022-10-19
"468",2461,5.6,2022-10-19
"469",2461,5.9,2022-10-19
"470",2458,5.4,2022-10-19
"471",2458,5.1,2022-10-19
"472",2458,5.6,2022-10-19
"473",2458,5.2,2022-10-19
"474",2458,5.2,2022-10-19
"475",2462,4.9,2022-10-19
"476",2462,4.4,2022-10-19
"477",2462,5.3,2022-10-19
"478",2462,5.6,2022-10-19
"479",2462,4.9,2022-10-19
"480",2401,4.7,2022-10-19
"481",2401,6.5,2022-10-19
"482",2401,4.9,2022-10-19
"483",2401,5.6,2022-10-19
"484",2401,6.1,2022-10-19
"485",2459,5.5,2022-10-19
"486",2459,5.9,2022-10-19
"487",2459,3.7,2022-10-19
"488",2459,5.1,2022-10-19
"489",2459,5.6,2022-10-19
"490",2405,4.8,2022-10-19
"491",2405,4.8,2022-10-19
"492",2405,4.7,2022-10-19
"493",2405,4.5,2022-10-19
"494",2405,5.4,2022-10-19
"495",11,5.1,2022-10-19
"496",11,2.9,2022-10-19
"497",11,5.3,2022-10-19
"498",11,4.9,2022-10-19
"499",11,5.4,2022-10-19
"500",12,5.6,2022-10-19
"501",12,4.2,2022-10-19
"502",12,3.8,2022-10-19
"503",12,5.4,2022-10-19
"504",12,4.1,2022-10-19
"505",13,5,2022-10-19
"506",13,5.1,2022-10-19
"507",13,5.1,2022-10-19
"508",13,5.3,2022-10-19
"509",13,5.1,2022-10-19
"510",14,5.1,2022-10-19
"511",14,3.6,2022-10-19
"512",14,5.3,2022-10-19
"513",14,4.2,2022-10-19
"514",14,4.8,2022-10-19
"515",15,4.3,2022-10-19
"516",15,4.6,2022-10-19
"517",15,4.3,2022-10-19
"518",15,5,2022-10-19
"519",15,3.6,2022-10-19
"520",2460,11.3,2022-11-21
"521",2460,8.6,2022-11-21
"522",2460,8.1,2022-11-21
"523",2460,5.6,2022-11-21
"524",2460,6.9,2022-11-21
"525",2403,9.7,2022-11-21
"526",2403,9,2022-11-21
"527",2403,8.1,2022-11-21
"528",2403,7.7,2022-11-21
"529",2403,9.8,2022-11-21
"530",2402,11.1,2022-11-21
"531",2402,12.2,2022-11-21
"532",2402,12.7,2022-11-21
"533",2402,6.3,2022-11-21
"534",2402,11.4,2022-11-21
"535",2404,6,2022-11-21
"536",2404,13.3,2022-11-21
"537",2404,10.9,2022-11-21
"538",2404,14.1,2022-11-21
"539",2404,10.5,2022-11-21
"540",2461,12.9,2022-11-21
"541",2461,11.9,2022-11-21
"542",2461,12.1,2022-11-21
"543",2461,12.2,2022-11-21
"544",2461,15,2022-11-21
"545",2458,9.2,2022-11-21
"546",2458,12.6,2022-11-21
"547",2458,8.4,2022-11-21
"548",2458,11.2,2022-11-21
"549",2458,13,2022-11-21
"550",2462,10.3,2022-11-21
"551",2462,13.7,2022-11-21
"552",2462,11.4,2022-11-21
"553",2462,7.8,2022-11-21
"554",2462,13.2,2022-11-21
"555",2401,11.7,2022-11-21
"556",2401,5.6,2022-11-21
"557",2401,7.2,2022-11-21
"558",2401,9.5,2022-11-21
"559",2401,6.4,2022-11-21
"560",11,9.7,2022-11-21
"561",11,11.6,2022-11-21
"562",11,11.3,2022-11-21
"563",11,7.3,2022-11-21
"564",11,13.5,2022-11-21
"565",12,7.8,2022-11-21
"566",12,7.5,2022-11-21
"567",12,7.8,2022-11-21
"568",12,7.1,2022-11-21
"569",12,11.9,2022-11-21
"570",13,6.9,2022-11-21
"571",13,13,2022-11-21
"572",13,10.5,2022-11-21
"573",13,7.3,2022-11-21
"574",13,9.5,2022-11-21
"575",14,8,2022-11-21
"576",14,12.6,2022-11-21
"577",14,9.2,2022-11-21
"578",14,11.2,2022-11-21
"579",14,11.1,2022-11-21
"580",15,11.3,2022-11-21
"581",15,13.9,2022-11-21
"582",15,8.8,2022-11-21
"583",15,11.1,2022-11-21
"584",15,10.3,2022-11-21
"585",2405,12.4,2022-11-21
"586",2405,11.5,2022-11-21
"587",2405,13.1,2022-11-21
"588",2405,8.5,2022-11-21
"589",2405,12.2,2022-11-21
"590",2459,7.7,2022-11-21
"591",2459,8.2,2022-11-21
"592",2459,7.4,2022-11-21
"593",2459,5.3,2022-11-21
"594",2459,5,2022-11-21
"595",2405,9.2,2023-09-25
"596",2405,9.2,2023-09-25
"597",2405,9.1,2023-09-25
"598",2405,8.1,2023-09-25
"599",2405,8.9,2023-09-25
"600",11,9.1,2023-09-25
"601",11,11,2023-09-25
"602",11,8,2023-09-25
"603",11,8,2023-09-25
"604",11,9.5,2023-09-25
"605",12,10.3,2023-09-25
"606",12,9.1,2023-09-25
"607",12,9.1,2023-09-25
"608",12,12.9,2023-09-25
"609",12,11.5,2023-09-25
"610",13,8.5,2023-09-25
"611",13,8.5,2023-09-25
"612",13,8.8,2023-09-25
"613",13,6.8,2023-09-25
"614",13,9.2,2023-09-25
"615",14,10,2023-09-25
"616",14,10,2023-09-25
"617",14,7.8,2023-09-25
"618",14,7,2023-09-25
"619",14,11.4,2023-09-25
"620",15,8.9,2023-09-25
"621",15,7.9,2023-09-25
"622",15,7.7,2023-09-25
"623",15,7.6,2023-09-25
"624",15,9.5,2023-09-25
"625",2460,8.8,2023-09-25
"626",2460,10.8,2023-09-25
"627",2460,9.1,2023-09-25
"628",2460,9.8,2023-09-25
"629",2460,9.9,2023-09-25
"630",2403,8.8,2023-09-25
"631",2403,11.7,2023-09-25
"632",2403,11,2023-09-25
"633",2403,10.6,2023-09-25
"634",2403,11.5,2023-09-25
"635",2402,11.7,2023-09-25
"636",2402,11.8,2023-09-25
"637",2402,11.3,2023-09-25
"638",2402,10.2,2023-09-25
"639",2402,7.7,2023-09-25
"640",2404,11.5,2023-09-25
"641",2404,11.8,2023-09-25
"642",2404,8.3,2023-09-25
"643",2404,10.6,2023-09-25
"644",2404,10.9,2023-09-25
"645",2461,10.8,2023-09-25
"646",2461,10,2023-09-25
"647",2461,10.4,2023-09-25
"648",2461,7.3,2023-09-25
"649",2461,9.2,2023-09-25
"650",2458,9.3,2023-09-25
"651",2458,12.3,2023-09-25
"652",2458,9.1,2023-09-25
"653",2458,9.6,2023-09-25
"654",2458,11.1,2023-09-25
"655",2401,12.6,2023-09-25
"656",2401,9.5,2023-09-25
"657",2401,7.4,2023-09-25
"658",2401,14.1,2023-09-25
"659",2401,8.7,2023-09-25
"660",2462,10,2023-09-25
"661",2462,7.5,2023-09-25
"662",2462,11.6,2023-09-25
"663",2462,6.4,2023-09-25
"664",2462,8.6,2023-09-25
"665",2459,9,2023-09-25
"666",2459,10.5,2023-09-25
"667",2459,10.5,2023-09-25
"668",2459,10.3,2023-09-25
"669",2459,9.5,2023-09-25
