Plot,ID,Species,Height (cm),Notes,Date,,,,,,,,,,,,,,,,,,,,
2460,16,ARCA,66.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,17,SAME,81.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,18,ENCA,82.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,19,SALE,64.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,20,RHOV,37.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,21,ARCA,71.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,22,SAME,93,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,23,ARCA,97.9,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,24,ENCA,101,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,25,ARCA,89.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,26,SALE,65.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,27,SAAP,59.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,28,ARCA,54.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,29,MALA,120.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,30,SALE,70.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,31,ENCA,50.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,32,ENCA,89.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,33,ARCA,67.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,34,ERFA,85.5,flowering,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,35,SAME,123.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,36,ENCA,60.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,37,SALE,126.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,38,SAME,109.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,39,ARCA,122,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,40,ERFA,35.7,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,41,SAAP,31,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,42,ERFA,60.6,flowering,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,43,ARCA,53.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,44,SAAP,59.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,45,SALE,104.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,46,ENCA,106,,9/22/23,,,,,,,,,,,,,,,,,,,,
2460,47,SAAP,20.9,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,1,SAME,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,2,ARCA,59.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,3,ENCA,73.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,4,ENCA,38.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,5,ARCA,56.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,6,SALE,74.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,7,ENCA,59.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,8,ERFA,59.6,flowering,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,9,ENCA,68,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,10,ENCA,36.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,11,ERFA,62.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,12,SAME,74.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,13,ARCA,68.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,14,ENCA,85.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,15,ERFA,75.5,flowering,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,16,ARCA,63.7,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,17,SALE,104.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,18,-,-,gone,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,19,ARCA,92.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,20,ENCA,107,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,21,ERFA,63.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,22,SALE,115.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,23,SAAP,21.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,24,ENCA,79.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,25,SAAP,48.7,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,26,SAME,69.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,27,SAAP,16.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,28,ARCA,63.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,29,ENCA,94.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,30,SALE,80.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,31,SAME,29.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,32,ARCA,49.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,33,ARCA,93.9,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,34,HEAR,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,35,SALE,64.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,36,ERFA,52.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,37,SAAP,16.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,38,HEAR,22.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2403,-,HEAR,13,resprout near 15,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,1,ARCA,97.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,2,SAAP,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,3,SAAP,63.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,4,ARCA,104.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,5,ERFA,36.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,6,ENCA,76.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,7,SAAP,dead,in gopher hole,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,8,ARCA,82.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,9,SAME,126.9,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,10,SAAP,51.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,11,SAAP,41.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,12,SALE,83.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,13,ERFA,40.6,,9/22/23,,,,,,,,,,,,,,,,,,,,
2401,14,SALE,70.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
13,1,SAAP,44.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,2,SAME,59.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,3,ARCA,64.3,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,4,SALE,72.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,5,SAAP,24.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,6,ARCA,45.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,7,ENCA,51.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,8,SAME,70.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,9,ARCA,8.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,10,SAAP,24.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,11,SALE,58.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,12,SALE,63.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,13,ENCA,54.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,14,CECU,46.3,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,15,ARCA,52.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,16,ENCA,45.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,17,CECU,30,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,18,ARCA,82,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,19,ENCA,41.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,20,ARCA,97.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,21,SAME,55.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,22,SAAP,28.1,"no label, just guessing",9/25/23,,,,,,,,,,,,,,,,,,,,
13,23,ARCA,86.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,24,SALE,45.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,25,SAAP,27.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
13,-,ENCA,22,resprout,9/25/23,,,,,,,,,,,,,,,,,,,,
13,-,SALE,7.5,resprout,9/25/23,,,,,,,,,,,,,,,,,,,,
2462,1,SALE,39.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2462,2,ARCA,65.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2462,3,SAAP,28.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2462,4,ARCA,87,,9/22/23,,,,,,,,,,,,,,,,,,,,
2462,5,SAAP,68.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
12,1,RHOV,33.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,2,ADFA,41.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,3,RHOV,-,dead,9/25/23,,,,,,,,,,,,,,,,,,,,
12,4,CEOL,23.9,species change from previous survey,9/25/23,,,,,,,,,,,,,,,,,,,,
12,5,CECU,23.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,6,RHOV,52.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,7,RHIL,17.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,8,RHOV,42.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,9,RHIL,22.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,10,CEOL,31.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,11,RHOV,61.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
12,12,RHOV,27.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
2458,1,RHOV,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,2,CEOL,31.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,3,RHOV,46.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,4,ADFA,29.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,5,MALA,48.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,7,RHOV,34.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2458,9,RHOV,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
11,1,SALE,76.3,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,2,ENCA,43.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,3,SALE,26.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,4,SAAP,30.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,5,ERFA,27.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,6,SAAP,37,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,7,SAME,30.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,8,ENCA,57.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,9,SAAP,56.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,10,SAAP,31,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,11,SAME,40,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,12,ARCA,95.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,13,SAAP,52.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,14,ENCA,56.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,15,ERFA,28.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
11,16,SALE,80.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,1,SALE,52.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,2,ENCA,53.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,3,ARCA,62.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,4,SAME,80.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,5,ARCA,100,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,6,ADFA,dead,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,7,ENCA,60.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,8,ARCA,91,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,9,ENCA,77.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,10,ARCA,90.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,11,SAAP,28.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,12,ERFA,51.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,13,ENCA,61.4,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,14,SALE,75.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,15,SALE,56.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,16,SAAP,39.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,17,ENCA,67,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,18,ARCA,82.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,19,MALA,62.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,20,SALE,73.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,21,SAME,62.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,22,ENCA,64.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,23,SALE,79,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,24,ARCA,85.2,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,25,ENCA,80.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,26,ENCA,67,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,27,SALE,95.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,28,ENCA,55.8,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,29,SAAP,28.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,30,ERFA,36.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,31,SAAP,43.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,32,ARCA,87.1,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,33,ARCA,90,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,34,SAAP,42.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,35,ARCA,83.6,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,36,SALE,86.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,37,RHOV,17.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,38,ARCA,108.5,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,39,ENCA,59.7,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,80,RHOV,22.9,,9/25/23,,,,,,,,,,,,,,,,,,,,
14,-,SAAP,13,unlabelled,9/25/23,,,,,,,,,,,,,,,,,,,,
14,-,SAAP,39,unlabelled (near 23),9/25/23,,,,,,,,,,,,,,,,,,,,
14,-,RHOV,25,unlabelled,9/25/23,,,,,,,,,,,,,,,,,,,,
15,8,RHOV,dead,,9/25/23,,,,,,,,,,,,,,,,,,,,
2405,1,ENCA,58.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,2,SAME,47.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,3,ENCA,28.1,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,4,SALE,40,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,5,SALE,73.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,7,SAAP,32.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,8,ENCA,39.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,9,SAME,40.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,10,ENCA,43.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,11,ERFA,52.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,12,ENCA,56,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,13,ERFA,57.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,14,SALE,61,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,15,ERFA,70,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,-,SAAP,28.2,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,-,SAAP,18,,9/22/23,,,,,,,,,,,,,,,,,,,,
2405,-,SAAP,10.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,1,HEAR,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,2,RHIL,3.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,3,RHOV,44.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,4,HEAR,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,5,MALA,77.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,6,MALA,98.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,7,MALA,74.3,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,8,ADFA,29.7,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,9,RHOV,73.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,10,ADFA,21.9,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,11,ADFA,-,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,12,RHOV,40.5,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,13,MALA,148.8,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,14,RHOV,89.4,,9/22/23,,,,,,,,,,,,,,,,,,,,
2459,15,MALA,dead,,9/22/23,,,,,,,,,,,,,,,,,,,,
