Plot,ID,Species,Height,Date,Resprout,Row #,Notes,,
2462,n/a,SAAP,13,3/9/2023,x,Row 3,maybe SALE?,,
2462,n/a,ARCA,47,3/9/2023,,,,,
2462,n/a,SAAP,38.7,3/9/2023,,Row 4,,,
12,61?,RHOV,4.4,3/9/2023,x,Row 1,,,
12,54?,ADFA,36.7,3/9/2023,,Row 2,,,
12,37?,HEAR,12.2,3/9/2023,,Row 3,,,
12,35,CEOL,40.3,3/9/2023,,,,,
12,n/a,CECU,36.5,3/9/2023,,,,,
12,34,RHOV,12.8,3/9/2023,,Row 4,,,
12,n/a,RHIL,15.9,3/9/2023,,,,,
12,27,RHOV,13.7,3/9/2023,,Row 5,,,
12,n/a,RHIL,21.6,3/9/2023,,,,,
12,n/a,CEOL,17.6,3/9/2023,,Row 6,,,
12,14,RHOV,11.6,3/9/2023,,,,,
12,1,RHOV,14.4,3/9/2023,,Row 7,,,
14,65,SALE,42.4,3/9/2023,,Row 1,,,
14,n/a,ENCA,65.7,3/9/2023,,,,,
14,n/a,ARCA,42,3/9/2023,,Row 2,,,
14,62?,SAME,59.7,3/9/2023,,,,,
14,67,ARCA,70.1,3/9/2023,,,,,
14,79 or 74?,ADFA,63.3,3/9/2023,,,,,
14,50,ENCA,66,3/9/2023,,Row 3,,,
14,n/a,ARCA,48.8,3/9/2023,,,,,
14,70,ENCA,77.2,3/9/2023,,,,,
14,72,ARCA,52,3/9/2023,,,,,
14,55,SAAP,29.4,3/9/2023,,Row 4,,,
14,52 or 53?,ERFA,40.7,3/9/2023,,,,,
14,51,ENCA,77.4,3/9/2023,,,,,
14,44,SALE,52.5,3/9/2023,,,,,
14,71,SALE,36.8,3/9/2023,,,,,
14,33,SAAP,30.3,3/9/2023,,Row 5,,,
14,45,ENCA,88.9,3/9/2023,,,,,
14,47,ARCA,58.1,3/9/2023,,,,,
14,36?,MALA,30.4,3/9/2023,,Row 6,,,
14,27,SALE,55.2,3/9/2023,,,,,
14,31,SAME,66.7,3/9/2023,,,,,
14,42,ENCA,84.7,3/9/2023,,,,,
14,n/a,SALE,49,3/9/2023,,,,,
14,29,ARCA,60,3/9/2023,,Row 7,,,
14,30,ENCA,101.4,3/9/2023,,,,,
14,35,ENCA,102.8,3/9/2023,,,,,
14,38?,SALE,73.8,3/9/2023,,Row 8,,,
14,23,ENCA,84.3,3/9/2023,,,,,
14,n/a,SAAP,34.8,3/9/2023,,,,,
14,15,ERFA,29.5,3/9/2023,,,,,
14,14,SAAP,60.7,3/9/2023,,,,,
14,12,ARCA,40.6,3/9/2023,,,,,
14,2,ARCA,68.9,3/9/2023,,Row 9,,,
14,4,SAAP,33.9,3/9/2023,,,,,
14,5,ARCA,44.3,3/9/2023,,,,,
14,6,SALE,57,3/9/2023,,,,,
14,7,RHOV,21.6,3/9/2023,,,,,
14,9,ARCA,67.2,3/9/2023,,,,,
14,4,ENCA,48.5,3/9/2023,,,,,
2460,68,ARCA,36.2,3/9/2023,,Row 1,,,
2460,70,SALE,69.7,3/9/2023,,,,,
2460,72,SAAP,36,3/9/2023,,,,,
2460,73,ENCA,85.3,3/9/2023,,,,,
2460,74,SAAP,38.4,3/9/2023,,,,,
2460,75,ARCA,46.5,3/9/2023,,,,,
